                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3222,                 1.6949,                  1.157,                0.55783,                0.45569,                0.52697,                0.33048,                 1.3412,                 1.2291,                 1.1019,               0.070566,              0.0032704,              0.0032704
                      1,                 1.1533,                0.85705,                 1.0534,                0.66308,                0.58845,                0.65489,                0.42762,                 1.3057,                 1.2492,                 1.0834,               0.040484,              0.0065221,              0.0065221
                      2,                 1.1628,                 0.7932,                 1.0475,                0.57072,                0.57757,                0.58471,                0.38242,                 1.3742,                 1.2451,                 1.1329,                0.01032,              0.0096912,              0.0096912
                      3,                 1.1563,                0.76261,                 1.0487,                0.65426,                 0.5892,                0.68133,                0.39687,                 1.4546,                 1.3528,                 1.1576,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.1585,                0.70824,                  1.059,                0.65318,                0.69183,                0.72998,                0.45473,                  1.353,                 1.0011,                 1.1248,              0.0096288,              0.0096288,              0.0096288
                      5,                  1.144,                0.66762,                  1.063,                0.70075,                0.64692,                0.70966,                0.43237,                  1.409,                 1.0593,                 1.1777,               0.009505,               0.009505,               0.009505
                      6,                 1.1164,                0.65714,                 1.0408,                0.76248,                0.72904,                0.79866,                0.49387,                 1.3376,                 0.9669,                 1.1136,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.1169,                0.62842,                 1.0377,                0.79165,                0.68542,                 0.7707,                0.45884,                 1.3985,                0.94441,                 1.1557,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.1174,                0.63194,                 1.0442,                0.80501,                0.74395,                0.79236,                0.51104,                 1.3107,                0.96326,                 1.1157,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.0956,                0.61756,                 1.0391,                0.75927,                0.73367,                0.74658,                0.48111,                 1.3257,                 1.0026,                 1.1099,                0.00901,                0.00901,                0.00901
                     10,                 1.0795,                0.60574,                 1.0338,                0.84639,                0.77538,                0.85234,                0.53206,                 1.3181,                 0.8576,                 1.1204,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.0788,                0.59212,                 1.0335,                0.85081,                0.77757,                0.83746,                0.52988,                 1.2876,                0.81698,                 1.0961,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.0689,                0.58258,                 1.0283,                0.86686,                 0.8105,                0.87533,                0.54633,                 1.3159,                0.76276,                 1.1233,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.0507,                 0.5799,                 1.0175,                0.87319,                0.78972,                0.85762,                0.53914,                 1.3435,                0.79637,                 1.1157,               0.008515,               0.008515,               0.008515
                     14,                 1.0355,                0.55946,                 1.0126,                0.87239,                0.82122,                0.85866,                0.54085,                 1.3286,                0.76157,                 1.1225,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.0522,                0.55469,                 1.0128,                0.83561,                0.80798,                0.84984,                0.52152,                 1.2945,                0.75866,                 1.1011,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.0149,                0.53941,                 1.0025,                0.85077,                0.81639,                0.85782,                0.54078,                 1.2733,                0.71912,                 1.1025,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.0255,                0.53805,                 1.0074,                0.85957,                0.80921,                0.84782,                0.54993,                 1.2611,                0.74599,                 1.0897,                0.00802,                0.00802,                0.00802
