                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6196,                 2.2563,                 1.3739,                0.53259,                0.52541,                 0.5496,                0.34159,                 1.3505,                 1.3644,                 1.1147,               0.070566,              0.0032704,              0.0032704
                      1,                  1.316,                 1.1097,                 1.1404,                 0.5134,                0.52423,                0.52913,                0.31782,                 1.4324,                 1.3092,                 1.1662,               0.040511,              0.0065489,              0.0065489
                      2,                 1.2474,                0.91435,                 1.0884,                0.49755,                0.46483,                0.44086,                0.26372,                 1.6623,                 1.6215,                 1.2262,               0.010401,              0.0097718,              0.0097718
                      3,                 1.2175,                0.90013,                 1.0769,                0.58038,                0.53868,                0.52448,                0.30945,                 1.4741,                 1.4181,                  1.188,              0.0097505,              0.0097505,              0.0097505
                      4,                 1.2204,                0.79011,                 1.0855,                0.56618,                0.54091,                 0.5583,                0.33056,                 1.4716,                 1.4016,                 1.1675,              0.0097505,              0.0097505,              0.0097505
                      5,                 1.1855,                0.71818,                 1.0745,                0.57787,                0.51887,                0.57149,                0.31513,                 1.5648,                 1.4095,                  1.232,              0.0096673,              0.0096673,              0.0096673
                      6,                 1.1696,                0.67642,                 1.0638,                0.60878,                 0.6235,                0.65661,                0.36132,                 1.4785,                 1.1317,                 1.1944,              0.0095842,              0.0095842,              0.0095842
                      7,                 1.1589,                0.66933,                 1.0658,                0.72281,                0.64738,                0.70369,                0.37826,                 1.4776,                 1.0478,                  1.187,               0.009501,               0.009501,               0.009501
                      8,                 1.1478,                0.66113,                 1.0561,                0.57041,                0.62702,                0.58897,                0.33427,                 1.5791,                 1.2657,                 1.2389,              0.0094178,              0.0094178,              0.0094178
                      9,                 1.1414,                0.64973,                 1.0522,                0.75473,                0.64366,                0.71318,                0.40758,                 1.4794,                  1.065,                 1.1972,              0.0093347,              0.0093347,              0.0093347
                     10,                 1.1223,                0.64268,                 1.0475,                0.78741,                0.64841,                0.73575,                0.43902,                 1.4049,                0.98566,                  1.168,              0.0092515,              0.0092515,              0.0092515
                     11,                 1.1185,                0.61484,                 1.0439,                0.81849,                 0.7001,                0.79368,                0.47401,                 1.3945,                0.95799,                 1.1702,              0.0091683,              0.0091683,              0.0091683
                     12,                 1.1059,                0.60014,                 1.0432,                0.81455,                0.63215,                0.74733,                0.42058,                 1.4208,                0.95048,                 1.1777,              0.0090852,              0.0090852,              0.0090852
                     13,                 1.0995,                0.58908,                 1.0348,                0.67143,                0.70362,                0.71914,                0.40747,                 1.5398,                 1.0011,                 1.2349,               0.009002,               0.009002,               0.009002
                     14,                  1.095,                0.58614,                 1.0365,                 0.7397,                0.69987,                0.77897,                0.46318,                 1.4047,                0.90176,                 1.1572,              0.0089188,              0.0089188,              0.0089188
                     15,                 1.0728,                0.57817,                 1.0233,                0.74339,                 0.7117,                0.75263,                0.44277,                 1.3715,                0.98519,                 1.1593,              0.0088357,              0.0088357,              0.0088357
                     16,                 1.0751,                0.56848,                 1.0218,                0.83298,                0.71405,                0.78986,                0.45342,                 1.4022,                0.90093,                 1.1474,              0.0087525,              0.0087525,              0.0087525
                     17,                 1.0651,                0.57271,                  1.018,                0.77574,                 0.6992,                0.79005,                 0.4661,                 1.3897,                0.95467,                  1.152,              0.0086693,              0.0086693,              0.0086693
                     18,                 1.0659,                0.56118,                 1.0155,                0.78897,                0.73326,                0.78853,                0.47653,                 1.3878,                0.96133,                 1.1438,              0.0085862,              0.0085862,              0.0085862
                     19,                 1.0531,                0.55455,                 1.0173,                0.82096,                 0.7388,                0.81566,                0.49405,                 1.3558,                0.90442,                 1.1284,               0.008503,               0.008503,               0.008503
                     20,                 1.0485,                0.55436,                 1.0114,                0.76358,                0.78979,                0.82764,                0.49825,                 1.3569,                0.84006,                 1.1366,              0.0084198,              0.0084198,              0.0084198
                     21,                 1.0462,                0.54613,                 1.0113,                0.81041,                0.79006,                 0.8456,                0.51995,                  1.337,                0.82085,                 1.1309,              0.0083367,              0.0083367,              0.0083367
                     22,                 1.0387,                0.54297,                 1.0094,                0.86022,                0.78427,                0.83378,                0.50156,                 1.3655,                0.83679,                 1.1453,              0.0082535,              0.0082535,              0.0082535
