                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5446,                 2.0698,                 1.2882,                0.40259,                0.36843,                0.33938,                0.18329,                 1.7431,                  2.118,                 1.4626,               0.070435,               0.003285,               0.003285
                      1,                 1.2616,                 1.0787,                 1.1035,                 0.4772,                0.56482,                0.51676,                0.29554,                 1.4949,                  1.438,                 1.3071,               0.040353,              0.0065365,              0.0065365
                      2,                 1.1848,                0.93947,                 1.0664,                0.40932,                0.12093,                0.17027,                0.09613,                 2.2402,                 3.9354,                  1.933,               0.010188,              0.0097054,              0.0097054
                      3,                 1.2078,                0.84071,                 1.0722,                0.55312,                0.06732,                0.08244,                0.04423,                 2.4054,                 4.3312,                 2.0176,              0.0096288,              0.0096288,              0.0096288
                      4,                 1.1984,                0.83446,                 1.0674,                0.34342,                0.15547,                0.17904,                0.08869,                 2.0627,                 3.5368,                 1.6231,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.1588,                0.77294,                 1.0476,                0.29962,                 0.1312,                0.13704,                 0.0628,                  2.236,                 3.1745,                 1.7061,               0.009505,               0.009505,               0.009505
                      6,                 1.1549,                0.72843,                 1.0441,                0.73911,                0.66217,                0.69933,                0.37542,                 1.5053,                 1.1548,                  1.346,              0.0093813,              0.0093813,              0.0093813
                      7,                 1.1208,                0.71167,                 1.0392,                0.66656,                0.55594,                0.60736,                0.30017,                 1.6882,                   1.26,                 1.4676,              0.0092575,              0.0092575,              0.0092575
                      8,                 1.1172,                0.68262,                 1.0434,                0.68434,                0.62954,                0.65514,                0.35184,                 1.5021,                 1.0935,                 1.3302,              0.0091337,              0.0091337,              0.0091337
                      9,                 1.0881,                0.66245,                  1.026,                0.39446,                 0.1748,                0.15757,                0.08152,                 2.3456,                 4.2477,                 1.9199,                0.00901,                0.00901,                0.00901
                     10,                  1.079,                0.65741,                 1.0179,                0.58984,                0.52532,                0.52961,                0.27029,                 1.7237,                 1.4363,                 1.4913,              0.0088863,              0.0088863,              0.0088863
                     11,                 1.0628,                0.64249,                  1.016,                0.72483,                0.53974,                0.60774,                0.33684,                 1.5519,                 1.4958,                 1.3512,              0.0087625,              0.0087625,              0.0087625
                     12,                 1.0366,                0.62091,                 1.0049,                0.84898,                0.66048,                0.76401,                0.43091,                 1.3522,                0.96569,                 1.2577,              0.0086388,              0.0086388,              0.0086388
                     13,                 1.0548,                0.61895,                 1.0156,                0.81348,                0.70075,                0.74395,                0.39999,                 1.4327,                0.95148,                 1.2892,               0.008515,               0.008515,               0.008515
                     14,                 1.0379,                0.61298,                 1.0073,                0.60822,                0.61593,                0.63631,                0.33551,                 1.5546,                 1.3047,                 1.3758,              0.0083913,              0.0083913,              0.0083913
                     15,                 1.0312,                0.60616,                 1.0053,                0.80536,                 0.7004,                0.78121,                0.44347,                 1.3342,                0.88699,                 1.2705,              0.0082675,              0.0082675,              0.0082675
                     16,                 1.0161,                0.59638,                0.99501,                0.76822,                0.66988,                0.74041,                0.39751,                 1.5127,                 1.2034,                 1.3508,              0.0081437,              0.0081437,              0.0081437
                     17,                 1.0084,                0.58429,                0.99048,                0.81609,                0.76759,                0.80819,                0.45711,                 1.3488,                0.85334,                 1.2618,                0.00802,                0.00802,                0.00802
                     18,                 1.0033,                0.58018,                0.99798,                0.79896,                0.68371,                0.72573,                0.39546,                 1.4592,                0.94276,                 1.3459,              0.0078963,              0.0078963,              0.0078963
                     19,                0.98455,                0.56761,                0.98864,                0.87296,                0.70304,                0.79051,                0.43976,                 1.3968,                0.84922,                 1.2768,              0.0077725,              0.0077725,              0.0077725
                     20,                0.98118,                 0.5597,                0.98736,                0.67311,                0.49992,                0.55074,                0.26833,                  1.813,                 1.6027,                 1.5717,              0.0076488,              0.0076488,              0.0076488
                     21,                0.98806,                 0.5601,                0.99187,                0.85289,                0.71446,                0.78793,                 0.4516,                 1.4193,                0.91758,                 1.3006,               0.007525,               0.007525,               0.007525
                     22,                0.96826,                0.55123,                0.98001,                0.72835,                 0.6015,                0.67143,                0.34734,                 1.7153,                 1.3332,                 1.4739,              0.0074013,              0.0074013,              0.0074013
                     23,                0.97793,                0.54933,                0.97857,                 0.8468,                0.67525,                0.74591,                0.41883,                 1.4526,                 1.0007,                  1.334,              0.0072775,              0.0072775,              0.0072775
