                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.855,                 2.6559,                 1.5234,                0.31359,                0.25975,                 0.2094,                0.10834,                 2.0328,                 2.4558,                 1.6475,               0.070435,               0.003285,               0.003285
                      1,                 1.3757,                  1.302,                 1.1663,                0.14241,                0.02677,                0.03502,                0.01772,                 2.8172,                  4.027,                  2.378,                0.04038,              0.0065633,              0.0065633
                      2,                 1.2641,                 1.0522,                 1.0987,                0.15223,                0.10304,                0.07816,                0.03359,                 2.3906,                 3.6875,                 1.9526,               0.010269,              0.0097862,              0.0097862
                      3,                 1.2421,                0.94718,                 1.0892,                0.37979,                0.42981,                0.33814,                0.17291,                 1.8507,                 1.8688,                 1.5493,              0.0097505,              0.0097505,              0.0097505
                      4,                 1.2186,                0.84452,                  1.076,                0.28799,                0.20337,                0.15986,                0.06927,                 2.7807,                 3.3013,                 2.4547,              0.0097505,              0.0097505,              0.0097505
                      5,                 1.1901,                0.77308,                 1.0587,                0.55556,                0.48277,                0.50305,                0.25316,                 1.7566,                 1.5349,                 1.4992,              0.0096673,              0.0096673,              0.0096673
                      6,                 1.1792,                0.74222,                 1.0565,                0.52383,                 0.4277,                0.42719,                0.21957,                 1.7218,                 1.7042,                 1.5026,              0.0095842,              0.0095842,              0.0095842
                      7,                 1.1556,                0.71715,                 1.0442,                 0.4367,                0.33003,                0.33932,                 0.1495,                 1.9705,                 2.2146,                 1.6356,               0.009501,               0.009501,               0.009501
                      8,                 1.1501,                0.71269,                 1.0472,                0.09787,                0.09293,                 0.0502,                0.02158,                 2.9974,                 4.4296,                 2.2948,              0.0094178,              0.0094178,              0.0094178
                      9,                 1.1227,                0.68663,                  1.035,                 0.5269,                0.51579,                 0.5253,                0.25591,                 1.8482,                 1.6694,                 1.5849,              0.0093347,              0.0093347,              0.0093347
                     10,                 1.1148,                0.67239,                 1.0338,                0.65097,                0.57009,                0.60621,                0.30458,                 1.6407,                 1.4692,                 1.4013,              0.0092515,              0.0092515,              0.0092515
                     11,                 1.1015,                0.64877,                  1.029,                0.55037,                 0.2979,                0.29304,                0.14605,                  2.142,                 2.2769,                 1.6659,              0.0091683,              0.0091683,              0.0091683
                     12,                 1.0818,                0.63385,                 1.0158,                0.51132,                0.13402,                0.17829,                0.08472,                 3.0283,                 5.2999,                  2.474,              0.0090852,              0.0090852,              0.0090852
                     13,                 1.0802,                0.61954,                 1.0179,                0.67461,                0.56687,                0.60704,                0.30665,                 1.5922,                  1.286,                 1.3714,               0.009002,               0.009002,               0.009002
                     14,                  1.065,                0.61521,                 1.0034,                0.70289,                0.58236,                0.62738,                0.32498,                 1.6328,                 1.2625,                 1.3823,              0.0089188,              0.0089188,              0.0089188
