RGB                 TIR                 (preprocesado+inferencia+postprocesado)
6.3+987.0+1.1   +   6.1+934.6+1.8 
6.6+952.7+1.8   +   6.1+921.9+1.8
6.5+970.5+1.8   +   5.6+914.8+1.7
5.7+961.1+1.8   +   5.8+938.8+2.0
5.2+938.4+1.7   +   6.0+944.5+1.7
5.9+962.5+1.8   +   5.7+939.2+1.7
5.3+934.9+1.8   +   5.3+909.0+1.8
5.5+955.1+1.8   +   5.8+913.9+1.8
5.7+952.2+1.8   +   5.5+937.7+2.0
6.1+989.9+1.7   +   6.2+925.3+1.8
5.9+963.3+1.8   +   6.1+926.4+1.8
5.8+948.9+1.8   +   6.1+933.6+2.0
5.2+963.8+1.8   +   5.7+923.6+1.8
5.3+932.0+1.8   +   6.2+921.6+1.8
5.4+952.8+1.8   +   5.8+914.9+1.7
5.4+948.3+1.8   +   5.6+930.6+1.7
5.2+942.2+1.8   +   5.7+939.6+2.0
5.9+966.0+1.8   +   5.8+904.1+1.8
5.5+958.9+1.8   +   5.5+919.1+1.8
5.9+958.1+1.7   +   5.7+916.6+1.8
5.8+938.7+1.7   +   6.0+936.7+1.8
5.2+962.8+1.9   +   6.1+963.1+1.8
5.8+948.2+1.7   +   5.4+937.2+1.8
5.6+968.8+1.8   +   6.1+931.0+1.8
5.9+943.9+1.8   +   5.8+896.7+1.8
5.4+950.1+1.8   +   5.8+935.2+2.0
5.6+955.0+1.8   +   6.4+984.6+1.8
5.5+947.8+1.8   +   5.7+903.5+1.8
5.4+1002.8+1.8  +   6.1+931.2+1.8
5.4+989.9+1.9   +   5.9+932.8+1.9
5.2+959.5+1.8   +   6.1+917.2+1.8
5.3+942.5+2.1   +   5.6+984.3+1.8
5.5+944.4+1.8   +   5.7+939.1+1.8
5.5+979.7+1.7   +   6.0+933.0+1.7
5.6+949.9+1.8   +   5.9+919.2+1.8
5.7+949.4+2.0   +   5.7+954.4+1.8
5.7+945.1+1.8   +   6.3+958.5+1.8
5.2+941.5+1.9   +   5.7+928.2+1.8
5.4+965.8+1.8   +   6.4+952.4+1.9
5.7+931.2+1.8   +   5.6+926.2+1.8
5.9+939.6+1.8   +   6.0+917.0+1.9
5.3+948.3+1.7   +   6.0+938.6+1.8
5.8+952.7+1.8   +   6.2+920.2+1.8
6.2+974.3+1.8   +   5.8+912.6+1.8
5.3+936.6+1.9   +   6.0+917.2+2.0
5.4+942.9+1.8   +   5.9+928.3+1.8
5.9+999.4+1.8   +   5.9+927.8+1.9
5.5+959.1+1.8   +   6.0+919.3+1.8
5.2+934.7+1.8   +   5.5+902.5+2.0
6.1+1148.3+1.8  +   7.4+976.8+1.8


